4,A4,FALSE,E2,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,0.529,0.233,1.202,31.569,30.966,0.926,5.579,5.283,0.476,0.275,0.918,TRUE,0.105,TRUE,3,27,Amp,,0.975,N,N,N,Y,N
5,A5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.892,25.683,0.450,,,,,,TRUE,0.367,TRUE,3,20,Amp,,0.981,N,N,N,N,N
5,A5,FALSE,E2,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,0.529,0.233,1.202,31.429,30.966,0.926,5.537,5.283,0.476,0.275,0.918,TRUE,0.105,TRUE,3,27,Amp,,0.985,N,N,N,Y,N
6,A6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.167,25.683,0.450,,,,,,TRUE,0.367,TRUE,3,19,Amp,,0.977,N,N,N,N,N
6,A6,FALSE,E2,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,0.529,0.233,1.202,29.900,30.966,0.926,4.733,5.283,0.476,0.275,0.918,TRUE,0.105,TRUE,3,25,Amp,,0.987,N,N,N,Y,N
7,A7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.656,25.439,0.289,,,,,,TRUE,0.367,TRUE,3,20,Amp,,0.957,N,N,N,N,N
7,A7,FALSE,Ful,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,1.755,0.920,3.350,29.240,28.993,0.631,3.583,3.553,0.375,0.217,-0.812,TRUE,0.105,TRUE,3,24,Amp,,0.985,N,N,N,Y,N
8,A8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.111,25.439,0.289,,,,,,TRUE,0.367,TRUE,3,19,Amp,,0.977,N,N,N,N,N
8,A8,FALSE,Ful,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,1.755,0.920,3.350,28.275,28.993,0.631,3.164,3.553,0.375,0.217,-0.812,TRUE,0.105,TRUE,3,24,Amp,,0.978,N,N,N,Y,N
9,A9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.550,25.439,0.289,,,,,,TRUE,0.367,TRUE,3,19,Amp,,0.977,N,N,N,N,N
9,A9,FALSE,Ful,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,1.755,0.920,3.350,29.463,28.993,0.631,3.913,3.553,0.375,0.217,-0.812,TRUE,0.105,TRUE,3,25,Amp,,0.981,N,N,N,Y,N
10,A10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.965,25.389,0.720,,,,,,TRUE,0.367,TRUE,3,20,Amp,,0.984,N,N,N,Y,N
10,A10,FALSE,Laso,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,2.042,1.458,2.859,29.218,28.724,0.822,3.253,3.335,0.196,0.113,-1.030,TRUE,0.105,TRUE,3,24,Amp,,0.983,N,N,N,Y,N
11,A11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.622,25.389,0.720,,,,,,TRUE,0.367,TRUE,3,19,Amp,,0.983,N,N,N,Y,N
11,A11,FALSE,Laso,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,2.042,1.458,2.859,29.180,28.724,0.822,3.558,3.335,0.196,0.113,-1.030,TRUE,0.105,TRUE,3,24,Amp,,0.984,N,N,N,Y,N
12,A12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.581,25.389,0.720,,,,,,TRUE,0.367,TRUE,3,17,Amp,,0.991,N,N,N,Y,N
12,A12,FALSE,Laso,GATA3,UNKNOWN,FAM,NFQ-MGB,,,,2.042,1.458,2.859,27.775,28.724,0.822,3.194,3.335,0.196,0.113,-1.030,TRUE,0.105,TRUE,3,23,Amp,,0.977,N,N,N,Y,N
13,B1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.181,25.901,0.247,,,,,,TRUE,0.367,TRUE,3,20,Amp,,0.984,N,N,N,N,N
